channelId,channelTitle,title,publishedAt,videoId,date
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/24 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-24T11:54:37Z,B0QWzK_ScYY,2020-01-24
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/15 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-15T06:21:16Z,2svkHBlUFBo,2021-02-15
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/3 13:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-03T06:33:39Z,Bqnb0TMwXsg,2020-03-03
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/29 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-29T06:38:38Z,pyuSvilI4Vs,2020-05-29
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/25 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-25T07:06:38Z,bVv-u2bcV_g,2020-03-25
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/27 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-27T07:04:12Z,PAO2u1DBhx4,2020-04-27
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/8 21:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-08T14:01:04Z,YUFpvgdg6lg,2020-02-08
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/6/24 17:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-06-24T09:49:28Z,0FRBppQWU50,2020-06-24
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/14 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-14T07:24:56Z,wf60NJ7G-W0,2020-03-14
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/19 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-19T07:13:51Z,oHVoU1nV0fg,2021-01-19
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/10 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-10T06:46:16Z,OdNa1zb38e0,2020-02-10
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/18 10:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-18T04:25:35Z,sZTy8NGi31Y,2020-03-18
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/15 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-15T07:29:33Z,WbbTdozn_os,2020-03-15
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/19 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-19T06:32:04Z,E76CUUAZ9L8,2021-02-19
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/4 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-04T07:37:29Z,Zuad2jyrOEw,2020-03-04
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/10 20:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-10T12:49:56Z,GfrIEhwPtow,2020-02-10
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/8/26 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-08-26T07:03:09Z,dgv77xiBbEc,2020-08-26
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/15 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-15T06:39:30Z,6p65hh2lftg,2020-05-15
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/7/24 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-07-24T06:24:59Z,t1AzfnqyfoM,2020-07-24
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/12/28 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-12-28T06:41:19Z,ltajewJLG38,2020-12-28
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/12/22 19:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-12-22T11:51:24Z,7Xjmc4ytvq8,2020-12-22
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/26 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-26T07:18:19Z,aIqEjArn2nQ,2020-04-26
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/18 14:30 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-18T08:47:38Z,CiyvTnsSlfA,2020-03-18
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/18 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-18T06:46:01Z,F2mKb659u5o,2021-02-18
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/1/24 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-01-24T07:56:28Z,ivX0MGipG_U,2020-01-24
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/7 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-07T07:01:51Z,7S69FJYmr3g,2021-02-07
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/2/14 16:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-02-14T08:55:16Z,PzBBffiIM6A,2020-02-14
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/29 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-29T07:03:38Z,F29BAgVxUuw,2020-03-29
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/3/3 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-03-03T06:51:08Z,D6IjEgrT6JY,2021-03-03
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/6/10 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-06-10T06:33:01Z,7NDare8QOBQ,2020-06-10
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/28 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-28T06:39:40Z,nBORFRPkqXU,2021-01-28
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/2 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-02T07:45:16Z,PFqFizmL1GE,2020-04-02
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/9/30 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-09-30T06:28:08Z,tcLdBVwjIzQ,2020-09-30
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/2 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-02T06:51:29Z,kXryy33VDLU,2021-02-02
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/14 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-14T07:12:08Z,Kee03Rm3cic,2020-04-14
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/5/1 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-05-01T06:26:35Z,lj0D8viTKkg,2020-05-01
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/2/4 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-02-04T06:43:48Z,GbSvff45zvk,2021-02-04
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/6 10:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-06T02:38:45Z,4jLeYGPwO0U,2020-04-06
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/4 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-04T07:27:41Z,Z61ZnclZ9BE,2020-04-04
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2021/1/18 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2021-01-18T07:02:33Z,knXST7CL654,2021-01-18
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/4/24 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-04-24T07:02:31Z,OCCLOSpOtiM,2020-04-24
UCyh91eTE9jA3ykg8W3_v3DQ,衛生福利部疾病管制署,2020/3/1 14:00 中央流行疫情指揮中心嚴重特殊傳染性肺炎記者會,2020-03-01T07:04:22Z,FbkuxQFI6Vs,2020-03-01
